time,gold standard
0.0,0.0
0.04,0.0
0.08,0.0
0.12,0.0
0.16,0.0
0.2,0.0
0.24,0.0
0.28,0.0
0.32,0.0
0.36,0.0
0.4,0.0
0.44,0.0
0.48,0.0
0.52,0.0
0.56,0.0
0.6,0.0
0.64,0.0
0.68,0.0
0.72,0.0
0.76,0.0
0.8,0.0
0.84,0.0
0.88,0.008525583363169744
0.92,0.011935816708437642
0.96,0.013640933381071588
1.0,0.02061514305328962
1.04,0.03107645756161668
1.08,0.03619180757951852
1.12,0.039678912415627536
1.16,0.043166017251736556
1.2,0.04657625059700445
1.24,0.0482813672696384
1.28,0.0482813672696384
1.32,0.04998648394227235
1.36,0.0516916006149063
1.4,0.0516916006149063
1.44,0.0516916006149063
1.48,0.0516916006149063
1.52,0.0516916006149063
1.56,0.0516916006149063
1.6,0.053396717287540245
1.64,0.06257804307202113
1.68,0.07293989159208705
1.72,0.07983722977346396
1.76,0.0833786116029941
1.8,0.0833786116029941
1.84,0.08691999343252423
1.88,0.08862511010515817
1.92,0.08862511010515817
1.96,0.09394848009816337
2.0,0.09573046826163843
2.04,0.10105383825464363
2.08,0.10467209157501486
2.12,0.10829034489538611
2.16,0.11190859821575735
2.2,0.11730883969960368
2.24,0.11909082786307874
2.28,0.12449106934692507
2.32,0.12989131083077138
2.36,0.1370647139056391
2.4,0.1443830333897354
2.44,0.1534745144648532
2.48,0.17114463543209535
2.52,0.18039480084140808
2.56,0.19524934248972944
2.6,0.21003583921966337
2.64,0.22298607079270114
2.68,0.23407250135891
2.72,0.24524074476847268
2.76,0.25447714225281903
2.8,0.25269515408934395
2.84,0.25269515408934395
2.88,0.25091316592586893
2.92,0.24913117776239385
2.96,0.24913117776239385
3.0,0.25096744291929
3.04,0.25458569623966126
3.08,0.25636768440313634
3.12,0.25999970564847397
3.16,0.261781693811949
3.2,0.26356368197542407
3.24,0.26534567013889915
3.28,0.26534567013889915
3.32,0.2670507868115331
3.36,0.27410189224815046
3.4,0.2827900694390143
3.44,0.2988960563757938
3.48,0.3095703322117369
3.52,0.3135907302416178
3.56,0.32049691926900653
3.6,0.3273439142240197
3.64,0.337805253005905
3.68,0.35109318871292244
3.72,0.36563867023565505
3.76,0.37562163396228126
3.8,0.38503406377508825
3.84,0.39095938875178626
3.88,0.3979512758424698
3.92,0.40151525216941997
3.96,0.4063141798146651
4.0,0.4079601024149235
4.04,0.40940191453357755
4.08,0.4109117715706192
4.12,0.4109117715706192
4.16,0.40920665489798524
4.2,0.4056426785710351
4.24,0.40386069040756006
4.28,0.40372462484434335
4.32,0.40377890183776444
4.36,0.40377890183776444
4.4,0.4019969136742894
4.44,0.4038331788311856
4.48,0.4020511906677105
4.52,0.4003323060701101
4.56,0.3986271893974762
4.6,0.3932674569820846
4.64,0.3843663427371629
4.68,0.37717917173732884
4.72,0.36992395581910725
4.76,0.36636880606461075
4.8,0.36214429755312566
4.84,0.356594198307538
4.88,0.34933898238931643
4.92,0.34881454004155654
4.96,0.34710942336892253
5.0,0.3488914115323976
5.04,0.3471862948597637
5.08,0.35260913084102996
5.12,0.35208468849326996
5.16,0.3486744551480021
5.2,0.34875132663884323
5.24,0.34888247512310544
5.28,0.34888247512310544
5.32,0.3488687071981391
5.36,0.3471635905255051
5.4,0.3489998556824013
5.44,0.3489998556824013
5.48,0.3489998556824013
5.52,0.34729473900976743
5.56,0.3455896223371334
5.6,0.3438845056644995
5.64,0.34223858306424115
5.68,0.3405334663916072
5.72,0.3405334663916072
5.76,0.3388875437913489
5.8,0.3388875437913489
5.84,0.3388875437913489
5.88,0.335477310446081
5.92,0.3338313878458226
5.96,0.3338313878458226
6.0,0.3304803485729303
6.04,0.32877523190029645
6.08,0.3271293093000381
6.12,0.32542419262740413
6.16,0.3198435943341178
6.2,0.3181384776614839
6.24,0.31426299604083163
6.28,0.3103283203478037
6.32,0.3069180870025358
6.36,0.30521297032990186
6.4,0.3035078536572679
6.44,0.3035078536572679
6.48,0.3018619310570096
6.52,0.3018619310570096
6.56,0.3018619310570096
6.6,0.3018619310570096
6.64,0.3000799428935345
6.68,0.29829795473005943
6.72,0.29829795473005943
6.76,0.29829795473005943
6.8,0.2999438773303178
6.84,0.2999438773303178
6.88,0.2999438773303178
6.92,0.299807811767101
6.96,0.30145373436735934
7.0,0.3049359221245138
7.04,0.3049359221245138
7.08,0.30611659644938777
7.12,0.3077625190496461
7.16,0.3077625190496461
7.2,0.3077625190496461
7.24,0.3112447068068006
7.28,0.3130809719636968
7.32,0.31590756888882904
7.36,0.31590756888882904
7.4,0.31590756888882904
7.44,0.31590756888882904
7.48,0.317088243213703
7.52,0.3207607735274954
7.56,0.32259703868439155
7.6,0.32430215535702556
7.64,0.32731909483879557
7.68,0.3290242115114295
7.72,0.33072932818406353
7.76,0.3300599694270749
7.8,0.32820993634521234
7.84,0.32820993634521234
7.88,0.32820993634521234
7.92,0.3251792289384759
7.96,0.32332919585661335
8.0,0.31962912969288826
8.04,0.3159290635291632
8.08,0.3158610186107757
8.12,0.3163174160401483
8.16,0.31446738295828575
8.2,0.31446738295828575
8.24,0.3126173498764232
8.28,0.3126173498764232
8.32,0.31076731679456066
8.36,0.31076731679456066
8.4,0.3089853286310856
8.44,0.3089853286310856
8.48,0.3089853286310856
8.52,0.3072033404676105
8.56,0.3060226661427366
8.6,0.30239064489739903
8.64,0.30239064489739903
8.68,0.30060865673392384
8.72,0.30060865673392384
8.76,0.29942798240904994
8.8,0.29942798240904994
8.84,0.29942798240904994
8.88,0.29942798240904994
8.92,0.29764599424557486
8.96,0.29764599424557486
9.0,0.2957959611637124
9.04,0.2957959611637124
9.08,0.2957959611637124
9.12,0.2939459280818498
9.16,0.2939459280818498
9.2,0.2920958949999872
9.24,0.2920958949999872
9.28,0.2920958949999872
9.32,0.2897806136427404
9.36,0.2891112548857518
9.4,0.2904279947738424
9.44,0.28975863601685375
9.48,0.28790860293499126
9.52,0.2890892772598652
9.56,0.2872392441780027
9.6,0.28538921109614007
9.64,0.28538921109614007
9.68,0.28538921109614007
9.72,0.2835391780142776
9.76,0.28471985233915154
9.8,0.2859005266640255
9.84,0.2859005266640255
9.88,0.28405049358216294
9.92,0.28405049358216294
9.96,0.2822004605003004
10.0,0.2822004605003004
10.04,0.2822004605003004
10.08,0.2822004605003004
10.12,0.28035042741843785
10.16,0.28213241558191293
10.2,0.2838375322545469
10.24,0.2856600294864767
10.28,0.2856600294864767
10.32,0.28387804132300165
10.36,0.2821729246503677
10.4,0.28032289156850515
10.44,0.27691265822323724
10.48,0.2735024248779694
10.52,0.27533869003486555
10.56,0.27552411551254885
10.6,0.27557839250597
10.64,0.27387327583333604
10.68,0.27209128766986096
10.72,0.2739275528267571
10.76,0.2721455646632821
10.8,0.270363576499807
10.84,0.2650944835002229
10.88,0.2650944835002229
10.92,0.2650944835002229
10.96,0.268111422981993
11.0,0.2699476881388892
11.04,0.2754022066161566
11.08,0.2773153432638939
11.12,0.279097331427369
11.16,0.280879319590844
11.2,0.28266130775431914
11.24,0.28266130775431914
11.28,0.28266130775431914
11.32,0.28326262159292026
11.36,0.28326262159292026
11.4,0.2814125885110577
11.44,0.28023191418618376
11.48,0.28023191418618376
11.52,0.28016386926779624
11.56,0.28016386926779624
11.6,0.27831383618593375
11.64,0.2800051849336013
11.68,0.28354656676313145
11.72,0.28354656676313145
11.76,0.2852516834357654
11.8,0.28340165035390286
11.84,0.28340165035390286
11.88,0.286943032183433
11.92,0.288123706508307
11.96,0.288123706508307
12.0,0.2898288231809409
12.04,0.2898288231809409
12.08,0.2898288231809409
12.12,0.2927146141784488
12.16,0.2999285263217713
12.2,0.30530617330819754
12.24,0.3071424384650937
12.28,0.3082462412991266
12.32,0.3101367834494438
12.36,0.31005991195860266
12.4,0.31005108538614906
12.44,0.3064871090591989
12.48,0.30462824940488276
12.52,0.30462824940488276
12.56,0.3080384827501506
12.6,0.3079616112593095
12.64,0.3095898564411024
12.68,0.3112723786163163
12.72,0.31119550712547517
12.76,0.30947271303437573
