time,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0.0,-1.0,-1.0,-1.0,-1.0,-0.07475999999999994,-0.08435999999999999,-1.0,-0.8629072,-0.05703600000000009,0.2682760000000002,-0.8596224,-1.0,-1.0,-0.29859199999999997,-1.0,-1.0,-1.0
0.04,-1.0,-1.0,-1.0,-1.0,-0.07977599999999996,-0.0779479999999999,-1.0,-0.8676536,-0.03529199999999988,0.2893720000000002,-0.8364347999999999,-1.0,-1.0,-0.30748,-1.0,-0.9998838412,-1.0
0.08,-1.0,-1.0,-1.0,-1.0,-0.07826399999999989,-0.14639999999999997,-1.0,-0.8924795999999999,-0.052064,0.27368400000000004,-0.8654944,-1.0,-1.0,-0.26579600000000003,-1.0,-0.9998838412,-1.0
0.12,-1.0,-1.0,-1.0,-1.0,-0.062612,-0.2962799999999999,-1.0,-0.8800012,-0.039303999999999895,0.35685200000000017,-0.7882576,-0.99030624,-1.0,-0.24485999999999997,-1.0,-0.9998838412,-1.0
0.16,-1.0,-1.0,-1.0,-1.0,-0.06344799999999995,-0.40635599999999994,-1.0,-0.8899208,-0.05907999999999991,0.34656399999999987,-0.7627116,-0.987154,-1.0,-0.1980360000000001,-1.0,-1.0,-1.0
0.2,-1.0,-1.0,-1.0,-1.0,-0.027947999999999862,-0.3631519999999999,-1.0,-0.8646692,-0.03049999999999997,0.38648400000000005,-0.6587364,-0.96560664,-1.0,-0.16196399999999977,-1.0,-1.0,-1.0
0.24,-1.0,-1.0,-1.0,-1.0,0.0041439999999999255,-0.223688,-1.0,-0.8766864,-0.051848000000000005,0.36050800000000005,-0.7039544,-0.9545456,-1.0,-0.08659600000000012,-1.0,-1.0,-1.0
0.28,-1.0,-1.0,-1.0,-1.0,0.03812800000000016,-0.15358800000000006,-1.0,-0.8195555999999999,-0.027699999999999836,0.3628600000000002,-0.71648,-0.87562,-1.0,-0.07526799999999989,-1.0,-1.0,-1.0
0.32,-1.0,-1.0,-1.0,-1.0,0.026900000000000146,-0.1569560000000001,-1.0,-0.8084696,-0.03869199999999995,0.3387479999999998,-0.8191176,-0.8971671999999999,-1.0,-0.1172439999999999,-1.0,-1.0,-1.0
0.36,-1.0,-1.0,-1.0,-1.0,0.006987999999999994,-0.28635600000000005,-1.0,-0.8142811999999999,-0.01774399999999987,0.355224,-0.8712835999999999,-0.917922,-1.0,-0.21511999999999998,-1.0,-1.0,-1.0
0.4,-1.0,-1.0,-1.0,-1.0,-0.005948000000000064,-0.371328,-1.0,-0.8329447999999999,-0.03525199999999995,0.3757840000000001,-0.8671588,-1.0,-1.0,-0.21875199999999995,-1.0,-1.0,-1.0
0.44,-1.0,-1.0,-1.0,-1.0,-0.0010999999999998789,-0.36153599999999997,-1.0,-0.8597068,-0.04277999999999993,0.3911,-0.8437276,-0.9835569200000001,-1.0,-0.21243599999999996,-1.0,-1.0,-1.0
0.48,-1.0,-1.0,-1.0,-1.0,0.027416000000000107,-0.2442519999999999,-1.0,-0.880914,-0.04703999999999997,0.3758520000000001,-0.7649572,-0.9835569200000001,-1.0,-0.190952,-1.0,-1.0,-1.0
0.52,-1.0,-1.0,-1.0,-1.0,0.02954000000000012,-0.14733999999999992,-1.0,-0.8953224,-0.04747199999999996,0.337604,-0.7899068,-0.9835569200000001,-1.0,-0.23731599999999997,-1.0,-1.0,-1.0
0.56,-1.0,-1.0,-1.0,-1.0,0.008104000000000111,-0.10497600000000007,-1.0,-0.9257696,-0.05301199999999995,0.30343600000000026,-0.7880836,-1.0,-1.0,-0.28279999999999994,-1.0,-1.0,-1.0
0.6,-1.0,-1.0,-1.0,-1.0,-0.02964399999999978,-0.05509999999999993,-1.0,-0.956764,-0.07375199999999993,0.20411200000000007,-0.8257908,-1.0,-1.0,-0.35039999999999993,-1.0,-1.0,-1.0
0.64,-1.0,-1.0,-1.0,-1.0,-0.08101999999999998,-0.11396799999999996,-1.0,-1.0,-0.09595999999999993,0.140752,-0.8245891999999999,-1.0,-1.0,-0.391328,-1.0,-1.0,-1.0
0.68,-1.0,-1.0,-1.0,-1.0,-0.11715999999999993,-0.24777199999999988,-1.0,-0.99417072,-0.11535600000000001,0.12121999999999988,-0.7793488,-1.0,-1.0,-0.40217199999999986,-1.0,-1.0,-1.0
