frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.910019,  1, 5, 0.834996, 0, 0, 1.45649, 2.55506, 0, 1.24083, 2.0165, 0, 1.95706, 1.43294, 0, 0, 0.898845, 0.584337, 1.48901, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1
2,  0.0400909,  0.896386,  1, 4.67519, 1.06613, 0, 0, 1.47916, 2.46221, 0, 1.73406, 2.04132, 0, 1.60693, 0.819771, 0, 0, 0.358704, 0.194779, 1.76532, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1
3,  0.0801817,  0.896988,  1, 4.35763, 0.944337, 0, 0, 1.45589, 2.2629, 0, 1.99043, 2.08497, 0, 1.07291, 0.342125, 0, 0, 0.0590888, 0, 1.97591, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1
4,  0.120273,  0.903883,  1, 4.26701, 0.841124, 0, 0, 1.42031, 2.15757, 0, 2.12362, 2.09879, 0, 0.760567, 0.07671, 0, 0, 0, 0, 2.12125, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1
5,  0.160363,  0.914932,  1, 4.07933, 0.551271, 0.0205335, 0, 1.31392, 2.07741, 0, 2.39983, 2.12902, 0, 0.384006, 0, 0, 0, 0.0881521, 0, 2.21478, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1
6,  0.200454,  0.888989,  1, 4.11971, 0.566218, 0.0494188, 0, 1.26377, 1.9269, 0, 2.6564, 2.05852, 0, 0.312993, 0, 0, 0, 0.0881521, 0, 2.2836, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1
7,  0.240545,  0.874758,  1, 4.16188, 0.280259, 0.0581373, 0, 1.26168, 1.79674, 0, 2.79859, 2.00281, 0, 0.471683, 0, 0, 0, 0.191554, 0, 2.32946, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1
8,  0.280636,  0.876188,  1, 4.26734, 0.272343, 0.0520179, 0, 1.35642, 1.47176, 0, 2.79279, 1.94723, 0, 0.589415, 0, 0, 0, 0.378136, 0, 2.38818, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1
9,  0.320727,  0.883627,  1, 4.24426, 0.23193, 0.0326283, 0, 1.48088, 1.56013, 0, 2.67772, 1.93797, 0, 1.05223, 0, 0, 0, 0.787818, 0, 2.42075, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1
10,  0.360818,  0.884303,  1, 4.18277, 0.417731, 0.0239098, 0, 1.6056, 1.53481, 0, 2.79704, 1.9695, 0, 1.19698, 0, 0, 0, 0.913978, 0, 2.42948, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1
