frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.957201,  1, 0.755019, 0.434396, 0, 1.36867, 1.69143, 1.76827, 1.3876, 0.710529, 1.75886, 0.512179, 0, 0, 0.544347, 0.19098, 1.45898, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
2,  0.0402252,  0.956891,  1, 0.759455, 0.43776, 0, 1.61307, 1.56766, 1.64595, 1.26031, 0.734434, 1.87623, 0.64331, 0, 0, 0.539849, 0.0867731, 1.60614, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
3,  0.0804505,  0.962031,  1, 0.776512, 0.395634, 0, 1.86013, 1.4581, 1.72021, 1.20432, 0.756588, 1.92248, 0.727317, 0, 0, 0.655588, 0.0773968, 1.56965, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
4,  0.120676,  0.962211,  1, 0.7705, 0.254692, 0, 1.9795, 1.37857, 1.75897, 1.20103, 0.746495, 1.86326, 0.918849, 0, 0, 0.656618, 0.117651, 1.46997, 0.0160311, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
5,  0.160901,  0.95548,  1, 0.683205, 0.149831, 0, 1.86228, 1.30342, 2.0963, 1.18449, 0.923042, 1.82059, 0.783023, 0, 0, 0.451781, 0.15376, 1.29881, 0.0160311, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
6,  0.201126,  0.955571,  1, 0.642345, 0.380903, 0, 1.45708, 1.19225, 1.9807, 1.19203, 1.06259, 1.72343, 0.718392, 0, 0, 0.246319, 0.272348, 1.29919, 0.0517281, 0.18096, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
7,  0.241351,  0.959533,  1, 0.805471, 0.779666, 0, 0.936561, 0.961854, 1.82175, 1.17504, 1.16711, 1.52865, 0.630176, 0, 0, 0.21878, 0.620546, 1.2587, 0.035697, 0.454503, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
8,  0.281577,  0.954777,  1, 1.23598, 1.47812, 0, 0.630496, 0.659282, 1.09341, 1.17941, 1.32654, 1.28665, 0.739726, 0, 0.0300463, 0.412864, 1.26504, 1.43394, 0.035697, 0.454503, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
9,  0.321802,  0.929195,  1, 1.50846, 1.14438, 0, 0.825722, 0.720844, 0.545322, 0.901054, 1.39261, 0.968661, 0.760832, 0, 0.282937, 0.684424, 2.38135, 1.62378, 0.267701, 0.273543, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
10,  0.362027,  0.7338,  1, 1.48302, 0.698458, 0, 1.01653, 0.805629, 0, 0.560095, 1.41645, 0.701089, 0.513794, 0, 0.610693, 0.661798, 3.50878, 1.78217, 0.39811, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
11,  0.402252,  0.79765,  1, 1.17473, 0.0597973, 0, 0.80712, 1.14427, 0, 0.27256, 1.4364, 0.60996, 0.351907, 0, 0.753921, 0.518236, 4.48386, 2.0515, 0.688886, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
12,  0.442478,  0.862675,  1, 0.947483, 0.271224, 0, 0.313819, 1.2443, 0, 0.269138, 1.54979, 0.719864, 0.140699, 0, 0.501031, 0.192615, 4.86134, 2.24826, 0.943439, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
13,  0.482703,  0.855525,  1, 1.3182, 0.714796, 0, 0.0206822, 1.09485, 0, 0.372713, 1.60475, 0.915758, 0.170271, 0, 0.459758, 0.088186, 4.27954, 2.37858, 1.06189, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
14,  0.522928,  0.943422,  1, 1.55343, 1.25374, 0, 0.38298, 0.778187, 0, 0.539308, 1.53946, 1.08983, 0.0374851, 0.127473, 0.286484, 0.0376645, 3.61893, 2.04147, 0.982537, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
15,  0.563153,  0.930279,  1, 1.82437, 1.53859, 0, 1.01395, 0.383918, 0, 0.692495, 1.41101, 1.17566, 0.3357, 0.127473, 0.286484, 0.0119913, 3.05139, 1.78199, 0.595153, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
16,  0.603378,  0.900498,  1, 1.58098, 1.8155, 0, 1.72864, 0.290148, 0.00819562, 0.858813, 1.25198, 1.31681, 0.567793, 0.127473, 0, 0.0169564, 2.87628, 1.4165, 0.385239, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
17,  0.643604,  0.929537,  1, 1.3431, 1.56173, 0, 2.16735, 0.346669, 0.0327203, 0.805885, 0.905857, 1.50584, 0.873644, 0, 0, 0.236257, 2.43141, 1.2871, 0.17381, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
18,  0.683829,  0.952269,  1, 1.1192, 1.42312, 0, 2.25823, 0.524243, 0.289229, 0.781453, 0.522861, 1.67295, 0.86933, 0, 0, 0.673611, 1.84384, 1.00693, 0.0389412, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
19,  0.724054,  0.952285,  1, 0.984895, 0.841769, 0, 2.08269, 0.788471, 0.562529, 0.605559, 0.195653, 1.85517, 0.8996, 0, 0, 1.13957, 1.40874, 0.912955, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
20,  0.764279,  0.915845,  1, 1.08427, 0.573673, 0, 1.55271, 1.01014, 0.796526, 0.67653, 0.0665616, 1.83586, 0.857395, 0, 0.00150753, 1.36231, 1.07089, 0.811636, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
21,  0.804505,  0.928765,  1, 1.05148, 0.215999, 0, 1.06544, 1.17445, 0.794525, 0.663683, 0, 1.76046, 0.885645, 0, 0.0370313, 1.32188, 0.691658, 0.682339, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
22,  0.84473,  0.926262,  1, 0.915042, 0.0768677, 0, 0.718213, 1.25732, 0.87848, 0.636887, 0, 1.53514, 0.935527, 0, 0.0774893, 1.30224, 0.38716, 0.5193, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
23,  0.884955,  0.927862,  1, 0.680399, 0, 0, 0.646747, 1.30802, 0.912278, 0.529828, 0, 1.36886, 0.941469, 0, 0.0759818, 1.22627, 0.180508, 0.235219, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0
24,  0.92518,  0.919894,  1, 0.544865, 0, 0, 0.596572, 1.28469, 1.0635, 0.443456, 0, 1.2462, 0.859057, 0, 0.040458, 1.10322, 0.0481763, 0.124241, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0
25,  0.965406,  0.951038,  1, 0.524645, 0, 0, 0.596754, 1.37227, 1.07185, 0.504856, 0, 1.27565, 0.851496, 0, 0, 1.04558, 0.0347524, 0.0568898, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0
26,  1.00563,  0.90749,  1, 0.608288, 0, 0, 0.587329, 1.39905, 1.19093, 0.457314, 0, 1.2403, 0.901561, 0, 0, 1.18012, 0.0180759, 0.0568898, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0
27,  1.04586,  0.953334,  1, 0.741443, 0, 0, 0.470179, 1.46555, 1.2147, 0.496931, 0, 1.27691, 1.05631, 0, 0, 1.19408, 0.0180759, 0.000776813, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0
28,  1.08608,  0.952173,  1, 0.891665, 0, 0, 0.389079, 1.42447, 1.15835, 0.547736, 0, 1.24017, 0.988735, 0, 0, 1.16786, 0.0757909, 0.0291149, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0
29,  1.12631,  0.900781,  1, 0.847867, 0, 0, 0.306462, 1.40371, 1.26461, 0.592921, 0, 1.27183, 0.897253, 0, 0, 1.00437, 0.130878, 0.128777, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0
30,  1.16653,  0.9532,  1, 0.791062, 0, 0, 0.346483, 1.40595, 1.17438, 0.57036, 0, 1.30984, 0.853815, 0, 0, 0.923768, 0.152055, 0.128001, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0
31,  1.20676,  0.895985,  1, 0.646525, 0, 0, 0.472283, 1.46951, 1.41211, 0.5679, 0, 1.25535, 0.913104, 0, 0, 0.851439, 0.0762644, 0.137473, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0
32,  1.24698,  0.956597,  1, 0.69314, 0, 0, 0.598429, 1.48728, 1.31749, 0.545713, 0, 1.33361, 0.957428, 0, 0, 0.847144, 0.0274388, 0.0378102, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0
33,  1.28721,  0.885788,  1, 0.600999, 0.00849704, 0, 0.702784, 1.4948, 1.37534, 0.612109, 0.0102293, 1.30681, 0.91009, 0, 0, 0.954757, 0.00626144, 0.0378102, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0
34,  1.32743,  0.955657,  1, 0.584994, 0.00849704, 0, 0.612361, 1.46485, 1.19877, 0.620925, 0.0102293, 1.41762, 0.975262, 0, 0, 1.03822, 0.0447706, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0
35,  1.36766,  0.956294,  1, 0.551385, 0.00849704, 0, 0.619748, 1.43319, 1.14345, 0.653457, 0.0102293, 1.39738, 1.07454, 0, 0, 1.03568, 0.114873, 0.062282, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0
36,  1.40788,  0.902411,  1, 0.615813, 0, 0, 0.629927, 1.41597, 1.14944, 0.572603, 0.0206298, 1.38084, 1.12714, 0, 0, 0.936028, 0.114873, 0.062282, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0
37,  1.44811,  0.954452,  1, 0.683999, 0, 0, 0.661646, 1.38394, 1.19443, 0.534197, 0.0206298, 1.36508, 0.980543, 0, 0, 0.991877, 0.153411, 0.100301, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0
38,  1.48833,  0.897361,  1, 0.727464, 0, 0, 0.743633, 1.42757, 1.3121, 0.53179, 0.0687447, 1.3046, 0.839508, 0, 0, 1.00919, 0.077047, 0.102804, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0
39,  1.52856,  0.953398,  1, 0.760042, 0, 0, 0.746902, 1.36052, 1.3232, 0.545676, 0.0481149, 1.34683, 0.755333, 0, 0, 1.09299, 0.105351, 0.102804, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0
40,  1.56878,  0.887304,  1, 0.713754, 0, 0, 0.870443, 1.40986, 1.46529, 0.608691, 0.0839329, 1.25914, 0.91218, 0, 0, 0.899337, 0.0283045, 0.0667249, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0
41,  1.60901,  0.952165,  1, 0.673694, 0, 0, 0.733098, 1.35093, 1.31547, 0.631368, 0.035818, 1.25823, 0.906348, 0, 0, 0.892502, 0.0529082, 0.00193959, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0
42,  1.64923,  0.95396,  1, 0.70011, 0, 0, 0.849531, 1.33764, 1.3263, 0.644929, 0.035818, 1.28246, 0.881529, 0, 0, 1.10001, 0.0818865, 0.0406691, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0
43,  1.68946,  0.891042,  1, 0.65955, 0, 0, 0.527205, 1.3857, 1.25654, 0.668872, 0.102971, 1.25639, 0.85576, 0, 0.0482223, 1.11176, 0.129311, 0.0387295, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0
44,  1.72968,  0.946754,  1, 0.703825, 0, 0, 0.341506, 1.57128, 1.62471, 0.777123, 0.272151, 1.29993, 1.17208, 0, 0.0482223, 1.04302, 0.104707, 0.112873, 0, 0.243734, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0
45,  1.76991,  0.896167,  1, 0.670279, 0, 0, 0, 1.70547, 1.82099, 0.945926, 0.403146, 1.19127, 1.43316, 0, 0.0482223, 0.557327, 0.0474245, 0.128317, 0, 0.820827, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0
46,  1.81014,  0.912222,  1, 0.770733, 0, 0, 0, 1.7478, 2.08535, 1.07455, 0.536905, 1.22386, 1.55488, 0, 0.0770362, 0.304835, 0, 0.305758, 0, 0.968862, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0
47,  1.85036,  0.912304,  1, 0.667472, 0, 0, 0, 1.72659, 2.04297, 1.17538, 0.733828, 1.15563, 1.52954, 0, 0.0770362, 0.0328146, 0, 0.503324, 0, 0.784369, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0
48,  1.89059,  0.892981,  1, 0.748448, 0, 0, 0, 1.82694, 2.11149, 1.08902, 0.602832, 1.30303, 1.02115, 0.144623, 0.153902, 0, 0, 0.687277, 0, 0.220562, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0
49,  1.93081,  0.896328,  1, 0.856072, 0, 0, 0, 1.87913, 1.9643, 0.972413, 0.413684, 1.50036, 0.725708, 0.144623, 0.219028, 0, 0, 1.07912, 0, 0.0725269, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0
