frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.939918,  1, 0, 0, 0, 0, 2.3131, 2.2891, 0, 0.342732, 2.35741, 3.17069, 0.350944, 0, 0, 1.75352, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
2,  0.0400481,  0.931445,  1, 0, 0, 0, 0, 2.30056, 2.30513, 0, 0.330866, 2.41177, 3.22343, 0.408913, 0, 0, 1.7313, 0, 0.000290397, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
3,  0.0800961,  0.929147,  1, 0, 0, 0, 0, 2.30434, 2.134, 0, 0.268801, 2.36984, 3.18421, 0.336264, 0, 0, 1.83551, 0, 0.000290397, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
4,  0.120144,  0.936509,  1, 0, 0, 0, 0, 2.34347, 1.7593, 0, 0.299997, 2.40174, 3.39213, 0.529356, 0.0242344, 0, 1.88785, 0, 0.000290397, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
5,  0.160192,  0.937331,  1, 0, 0, 0, 0, 2.34138, 1.48411, 0, 0.275198, 2.3523, 3.36641, 0.593221, 0.032115, 0, 2.00491, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
6,  0.20024,  0.933789,  1, 0, 0, 0, 0, 2.43013, 1.59212, 0, 0.338327, 2.42375, 3.46621, 0.853159, 0.0859834, 0, 2.09509, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
7,  0.240288,  0.931771,  1, 0, 0, 0, 0, 2.51036, 1.94078, 0, 0.308284, 2.37038, 3.40127, 0.740114, 0.113636, 0, 2.28351, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
8,  0.280336,  0.922631,  1, 0, 0, 0, 0, 2.59532, 2.11603, 0, 0.451111, 2.43075, 3.40715, 0.7088, 0.31095, 0, 2.31183, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
9,  0.320384,  0.927486,  1, 0, 0, 0, 0, 2.56725, 2.10761, 0, 0.478826, 2.40327, 3.34687, 0.452206, 0.257082, 0, 2.20689, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
10,  0.360433,  0.932141,  1, 0, 0, 0, 0, 2.51747, 1.78411, 0, 0.464297, 2.45564, 3.38806, 0.321791, 0.205195, 0, 1.9622, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
11,  0.400481,  0.924239,  1, 0, 0, 0, 0, 2.48513, 1.57168, 0, 0.417638, 2.41187, 3.43946, 0.332103, 0, 0, 1.95312, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
12,  0.440529,  0.929251,  1, 0, 0, 0, 0, 2.49725, 1.59616, 0, 0.350733, 2.39305, 3.47775, 0.390681, 0.0411077, 0, 1.96891, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
13,  0.480577,  0.92645,  1, 0, 0, 0, 0, 2.56854, 1.88937, 0, 0.297715, 2.3824, 3.43963, 0.587607, 0.0411077, 0, 2.02262, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
14,  0.520625,  0.925267,  1, 0, 0, 0, 0, 2.57385, 2.13165, 0, 0.261694, 2.38132, 3.34401, 0.525233, 0.0411077, 0, 1.90671, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
